Word,Valence,Arousal,Dominance,Concreteness
virtuosos,0.697822,0.501360,0.628746,0.565629
demote,0.504839,0.460938,0.571292,0.451998
absolves,0.486828,0.388030,0.550251,0.434496
toleration,0.640473,0.419868,0.607583,0.333047
deerskin,0.658098,0.377361,0.599184,0.984894
Susie,0.680044,0.465225,0.578812,0.761817
antiheroes,0.431911,0.533942,0.492756,0.484560
sellable,0.669078,0.451392,0.668289,0.445696
smirk,0.507814,0.488431,0.584429,0.680362
scrumptiously,0.697215,0.500489,0.623443,0.611922
indiscretion,0.355633,0.530782,0.454543,0.492834
gradation,0.611812,0.437402,0.620666,0.530673
mason,0.550346,0.340058,0.608230,0.864875
unclog,0.519350,0.468471,0.590438,0.615793
combinatorial,0.595280,0.418866,0.590966,0.499522
encourage,0.745214,0.458948,0.706233,0.465893
branch,0.623958,0.421952,0.607172,0.859598
adapt,0.650744,0.469218,0.664205,0.469564
autarky,0.513053,0.466194,0.562559,0.365475
unarmored,0.460169,0.420936,0.519852,0.587565
dinginess,0.415707,0.465979,0.474408,0.617937
transmute,0.577070,0.470576,0.611394,0.480555
size,0.618280,0.443244,0.607951,0.729959
outburst,0.413273,0.589864,0.474660,0.600244
misrepresentations,0.399587,0.481036,0.439224,0.367940
nightdress,0.546220,0.434873,0.540386,0.995164
abbott,0.544777,0.415173,0.569420,0.624870
stamping,0.496099,0.460771,0.584087,0.710078
abbots,0.556583,0.362751,0.560264,0.573110
sheetrock,0.480624,0.408160,0.560774,0.883367
strate,0.538215,0.451106,0.589012,0.606858
underfoot,0.673724,0.396702,0.597719,0.557425
strata,0.595473,0.393822,0.593865,0.606386
rocker,0.522385,0.485099,0.546158,0.828085
oximeter,0.489920,0.384886,0.522385,0.863289
pumpkins,0.661583,0.441029,0.616718,0.962770
carryall,0.711678,0.353148,0.696306,0.933855
sandra,0.472661,0.495981,0.479984,0.730673
stereotypical,0.440145,0.509336,0.538451,0.501173
estimate,0.616892,0.445696,0.634886,0.716163
laburnum,0.643159,0.420897,0.556207,0.729604
universally,0.645708,0.384421,0.639781,0.362054
chlorine,0.478265,0.453865,0.521411,0.812317
jugs,0.546936,0.399865,0.586747,0.847028
accts,0.542300,0.431463,0.578925,0.637549
competes,0.545520,0.438870,0.651748,0.682712
uncomplaining,0.569336,0.384429,0.597947,0.406265
disturber,0.481213,0.444385,0.575000,0.479785
criminologists,0.458560,0.422201,0.498050,0.668006
sickeningly,0.434626,0.531803,0.485547,0.375996
immunities,0.549821,0.526323,0.558024,0.438370
transliterating,0.662062,0.380781,0.644705,0.577478
connive,0.380171,0.456271,0.517882,0.427945
eavesdroppers,0.520215,0.463353,0.577397,0.604279
thyristors,0.478678,0.450548,0.502484,0.545578
ministries,0.563995,0.422468,0.590851,0.580240
disturbed,0.381501,0.508054,0.455680,0.358179
competed,0.579498,0.479028,0.652205,0.623627
dentures,0.526197,0.411164,0.547779,0.997061
portmanteau,0.507034,0.415349,0.531846,0.396724
ineffectively,0.310244,0.426251,0.415488,0.395785
mendacity,0.350429,0.470985,0.472643,0.332485
Niger,0.501736,0.496254,0.510444,0.615072
guardsmen,0.643768,0.426374,0.593656,0.738243
yester,0.591123,0.430426,0.587637,0.575115
joshed,0.656215,0.414537,0.665867,0.697851
breed,0.674320,0.455565,0.632640,0.664314
curiouser,0.569867,0.524045,0.509149,0.579634
behaviourist,0.615323,0.452959,0.625840,0.584491
malignity,0.348683,0.507135,0.465837,0.413863
mustards,0.664747,0.402481,0.631657,0.826807
popularism,0.485496,0.516335,0.551910,0.304589
humanitarians,0.646979,0.490190,0.627044,0.554063
repousse,0.647494,0.326386,0.624647,0.845498
reciprocally,0.654387,0.428191,0.606800,0.401927
maladies,0.284537,0.490116,0.332055,0.414798
praseodymium,0.512839,0.427585,0.533952,0.649099
clamorous,0.569731,0.504256,0.583470,0.486946
feldspar,0.547331,0.360792,0.519233,0.789326
pronghorn,0.634052,0.443584,0.566674,0.795313
bantamweight,0.560976,0.528090,0.607724,0.704053
reintroduces,0.660127,0.447825,0.670629,0.319305
seizures,0.403395,0.587036,0.434000,0.706547
naughtier,0.707017,0.548294,0.665159,0.619907
olds,0.646943,0.458430,0.581531,0.705637
bakelite,0.683817,0.378000,0.626900,0.902918
renovated,0.684986,0.382203,0.651683,0.599503
service,0.695797,0.415594,0.680663,0.627313
dissuasion,0.488407,0.542138,0.557569,0.390594
outrace,0.467494,0.561493,0.556927,0.618332
reuben,0.729841,0.369858,0.675300,0.868888
boas,0.687385,0.519602,0.618769,0.902805
needed,0.688922,0.452337,0.637636,0.481952
dharmic,0.688987,0.379456,0.651372,0.379230
master,0.662405,0.441762,0.662359,0.574225
submucosa,0.368549,0.429867,0.443728,0.682263
critter,0.638896,0.454961,0.560955,0.905595
ghostwriters,0.541863,0.414459,0.565954,0.523001
fuzziness,0.540227,0.395723,0.536841,0.416772
walkaway,0.368893,0.446970,0.445999,0.417304
minstrelsy,0.410786,0.469724,0.458309,0.569030
looted,0.425391,0.563809,0.501759,0.573355
rewards,0.732531,0.563116,0.698237,0.425089
enthrall,0.708395,0.547938,0.669038,0.449887
scrapes,0.492196,0.491822,0.535119,0.852164
nonspecific,0.396810,0.472858,0.473922,0.400534
exulted,0.711015,0.550771,0.658431,0.503573
yield,0.616054,0.413137,0.632890,0.550519
chalice,0.607498,0.373976,0.618352,0.860973
precocity,0.621775,0.476336,0.605216,0.409812
integrally,0.578645,0.427155,0.582669,0.421510
mutilated,0.359507,0.587727,0.430948,0.645919
noli,0.555290,0.384660,0.611098,0.550329
accusatorial,0.431162,0.417369,0.535117,0.429840
horrible,0.320556,0.606391,0.415993,0.383235
positively,0.688830,0.476713,0.649823,0.370235
smothers,0.456687,0.478962,0.517365,0.584456
ahmed,0.590092,0.424403,0.594645,0.747149
bannister,0.550272,0.416287,0.564534,0.978011
grimness,0.387575,0.465705,0.480149,0.490344
pectins,0.585096,0.360134,0.570754,0.654353
handcuffs,0.435135,0.480360,0.523214,0.951940
idly,0.463127,0.352033,0.521952,0.500461
lightener,0.611890,0.458694,0.630498,0.761160
regulator,0.516740,0.454312,0.549303,0.711232
scaremonger,0.405547,0.467257,0.506441,0.504483
idle,0.427197,0.389927,0.527435,0.487503
exclaimed,0.703831,0.527667,0.684599,0.676496
friend,0.776080,0.463370,0.692233,0.711350
moneyless,0.571206,0.478834,0.547454,0.514217
shampoos,0.569856,0.452263,0.562415,0.720862
feeling,0.609645,0.492201,0.605734,0.529045
hideaways,0.650698,0.499412,0.597296,0.637408
dozes,0.553294,0.485167,0.584591,0.690519
dozer,0.599870,0.470188,0.583788,0.882737
assertiveness,0.578187,0.511928,0.620333,0.493005
rescaling,0.676820,0.416531,0.699362,0.447284
Chicago,0.543999,0.430262,0.597800,0.762578
longs,0.554200,0.498035,0.560867,0.587707
codeine,0.441602,0.450872,0.508708,0.716626
razorfish,0.670289,0.421804,0.620109,0.822427
spectrum,0.641858,0.420512,0.628124,0.688219
newsreels,0.545972,0.433027,0.562581,0.693814
transporters,0.439818,0.409424,0.518250,0.614096
spiff,0.557915,0.451389,0.627912,0.643299
dozed,0.504589,0.446751,0.548687,0.623204
increment,0.617455,0.489880,0.569397,0.526746
arousal,0.545299,0.595523,0.542246,0.519021
thaw,0.634278,0.465307,0.595613,0.627088
urinate,0.393666,0.512531,0.479726,0.818132
resignations,0.480093,0.428502,0.513110,0.491564
petticoats,0.575315,0.472051,0.578154,0.771135
dozen,0.638459,0.396492,0.606830,0.649507
foundational,0.681218,0.418064,0.662309,0.325525
affairs,0.480044,0.455351,0.554100,0.564924
melvin,0.497251,0.484664,0.493753,0.725841
wholesome,0.841983,0.439094,0.763988,0.449766
courier,0.517402,0.436765,0.557419,0.795592
hymen,0.567519,0.476158,0.564146,0.822556
achievement,0.774846,0.533865,0.757493,0.436104
paramedics,0.583101,0.475065,0.512597,0.802063
ski_lodge,0.674455,0.481084,0.611872,0.804856
uncouth,0.358103,0.518158,0.486420,0.311156
prosody,0.599680,0.423381,0.571197,0.417182
racers,0.634510,0.508142,0.590311,0.825274
toothed,0.538927,0.442247,0.534496,0.804715
regaling,0.566748,0.497866,0.572915,0.565778
chloromethane,0.464249,0.443156,0.536182,0.654072
britches,0.544376,0.434273,0.585212,0.782933
affaire,0.431605,0.505858,0.492273,0.402344
