"term","humor"
"bedroom","56.774194"
"bedside","47.039474"
"bedspread","57.894737"
"bedtime","48.421053"
"beef","59.052632"
"beefsteak","72.442645"
"beehive","57.495463"
"beep","60.566802"
"beer","64.991511"
"beetle","63.684211"
"beggar","49.210526"
"beige","54.30127"
"belay","50.797963"
"belch","70.197368"
"belief","49.62406"
"bell","40.701754"
"bellboy","63.684211"
"bellhop","61.136842"
"bellow","71.714771"
"belly","78.257713"
"beloved","59.722992"
"belt","51.578947"
"bench","49.139923"
"bend","50.818713"
"bereaved","39.612188"
"beret","60.065789"
"berth","53.826458"
"bet","43.157895"
"beta","62.286751"
"bias","44.95356"
"bible","43.121597"
"biceps","47.280702"
"bid","47.173489"
"bidder","54.255639"
"bigot","43.591331"
"bike","47.567568"
"bile","52.270677"
"bilge","59.548872"
"bill","48.300752"
"billboard","53.658537"
"billiard","63.684211"
"billion","66.068111"
"bin","42.610526"
"bind","43.421053"
"binder","51.052632"
"binding","43.669173"
"binge","48.300752"
"bingo","75.263158"
"birch","47.142857"
"bird","62.286751"
"birdie","75.263158"
"birth","51.800554"
"birthday","61.754386"
"birthmark","56.027165"
"birthplace","41.812866"
"birthright","54.035088"
"biscuit","62.989474"
"bishop","51.162791"
"bisque","67.157895"
"bistro","54.035088"
"bitch","57.894737"
"bite","51.948791"
"bitter","50.472335"
"biz","58.666667"
"blackbird","53.317013"
"blackboard","47.242105"
"blackjack","67.036011"
"blacklist","42.180451"
"blackmail","53.786078"
"blackness","49.62406"
"blacksmith","57.648376"
"bladder","61.256367"
"blade","51.544992"
"blame","41.684211"
"blank","47.763158"
"blanket","46.315789"
"blare","53.317013"
"blast","55"
"blazer","50.175439"
"bleach","44.661654"
"bleeder","55.578947"
"bleep","67.894737"
"blemish","47.912886"
"blend","46.894737"
"blessing","45.308924"
"blight","48.421053"
"blimp","74.619883"
"blind","36.280702"
"blindfold","53.552632"
"blindness","41.973684"
"blink","61.395349"
"blip","70.760234"
"bliss","54.586466"
"blister","45.721997"
"blitz","67.929825"
"blizzard","60.789474"
"blob","82.105263"
"block","49.878543"
"blockade","47.763158"
"blockage","58.887218"
"blockhead","79.398496"
"bloke","88"
"blond","65.020243"
"blonde","72.280702"
"blood","39.368421"
"bloodbath","37.351443"
"bloodhound","45.672515"
"bloodshed","37.493734"
"bloodstream","49.336384"
"bloom","65.263158"
"bloomers","82.982456"
"blossom","54.586466"
"blotter","67.876588"
"blouse","49.509982"
"blow","60.085349"
"blue","50.834403"
"bluebird","51.659919"
"bluejay","53.126935"
"blueprint","57.495463"
"blues","48.888889"
"bluff","57.54386"
"blunder","73.130194"
"blur","62.063158"
"blush","64.842105"
"boa","55.689223"
"boar","52.704174"
"boarder","47.567568"
"boarding","44.578947"
"boardroom","50.175439"
"boardwalk","46.941679"
"boast","55.321637"
"boat","58.741977"
"boathouse","50.604288"
"boatman","60.038986"
"bobcat","49.746589"
"bobsled","74.766917"
"body","54.892788"
"bog","67.232598"
"boil","51.107078"
"boiler","51.22807"
"bollocks","88.975069"
"bolt","53.213886"
"bomb","46.315789"
"bomber","44.144737"
"bombshell","60.210526"
"bondage","56.774194"
"bone","64.955071"
"bonnet","62.397661"
"bonsai","72.879257"
"bonus","50.846682"
"boob","86.372688"
"booby","94.175439"
"boogie","85.12091"
"book","49.746589"
"bookcase","56.48267"
"bookie","67.979626"
"booklet","45.721997"
"bookshop","54.210526"
"bookworm","62.750424"
"boom","65.519897"
"boon","79.854809"
"boost","63.935927"
"booster","59.092559"
"boot","51.107078"
"boots","54.489164"
"booty","100"
"booze","69.473684"
"bop","82.853801"
"boredom","46.315789"
"borough","53.263158"
"bosom","71.017544"
"boss","53.177388"
"bother","48.987854"
"bounce","70.175439"
"bouncer","63.214794"
"bound","47.173489"
"bounty","58.575851"
"bouquet","60.085349"
"bout","50.285714"
"boutique","62.063158"
"bow","60.038986"
"bowel","67.368421"
"bowels","64.180451"
"bowl","56.240602"
"bowler","62.397661"
"bowling","53.039049"
"boxer","57.894737"
"boy","60.085349"
"boycott","47.763158"
"boyfriend","55.457064"
"boyhood","55.816464"
"bra","73.333333"
"brace","46.315789"
"bracket","54.035088"
"brag","43.591331"
"braid","51.22807"
"brain","47.809847"
"brake","46.315789"
"bran","49.878543"
"branch","52.704174"
"brand","51.544992"
"brassiere","68.026316"
"brawl","51.948791"
"brawn","57.122807"
"bread","46.315789"
"break","47.114338"
"breakdown","45.654135"
"breaker","54.035088"
"breakfast","54.489164"
"breakthrough","50.402477"
"breakup","42.697368"
"breast","68.847795"
"breath","40"
"breather","54.807018"
"breech","54.223363"
"breeder","54.394125"
"breeding","56.11336"
"breeze","49.878543"
"brethren","55.750487"
"brew","58.947368"
"brewery","53.726316"
"briar","60.651629"
"bribe","56.447368"
"bride","52.932331"
"bridegroom","60.411899"
"bridesmaid","58.245614"
"bridge","48.097166"
"briefcase","49.509982"
"briefing","48.888889"
"brig","54.276316"
"bright","51.461988"
"brightness","61.203008"
"brilliant","54.223363"
"brim","51.929825"
"brimstone","64.705882"
"brisket","60.37594"
"broad","62.960526"
"broadcast","47.809847"
"broadside","51.381579"
"broadsword","61.001284"
"brochure","55.222672"
"broker","49.094737"
"bronco","55.917843"
"bronze","49.303905"
"brooch","56.532508"
"brood","51.609023"
"brook","49.547124"
"broomstick","68.315789"
"broth","56.140351"
"brothel","67.858017"
"brother","49.934211"
"brow","46.315789"
"brown","50.175439"
"browse","54.035088"
"bruise","48.300752"
"brunch","57.315789"
"brunette","48.987854"
"brunt","57.391304"
"brush","50.432749"
"bubble","69.473684"
"bubbly","77.647059"
"buck","62.588905"
"buckle","57.894737"
"buckshot","59.284211"
"buckwheat","74.105263"
"buddy","77.528604"
"budget","41.684211"
"buffer","57.285319"
"buffoon","90.05848"
"bugger","77.459165"
"buggy","68.221906"
"bugler","54.035088"
"builder","54.035088"
"building","43.421053"
"buildup","44.438122"
"bulb","55"
"bulge","70.175439"
"bulk","55.353017"
"bulkhead","59.824561"
"bull","59.973009"
"bulldog","51.544992"
"bullet","37.757437"
"bullion","70.631579"
"bullshit","83.533835"
"bully","42.560455"
"bummer","63.201754"
"bump","58.947368"
"bun","71.052632"
"bunk","68.547368"
"bunker","66.165414"
"bunkhouse","55.750487"
"buoy","64.407895"
"burden","40.185759"
"bureau","48.987854"
"burial","41.086587"
"burlesque","68.830409"
"burn","40.701754"
"burner","51.278195"
"burp","75.603715"
"burr","68.81203"
"burro","71.869328"
"burrow","56.11336"
"burst","60.085349"
"bushel","55.377574"
"business","47.912886"
"bust","67.302632"
"buster","73.762183"
"bustle","68.026316"
"butcher","46.909582"
"butler","59.93808"
"butt","80.701754"
"butter","65.480944"
"buttocks","83.947368"
"button","56.11336"
"buy","47.418546"
"buyer","47.173489"
"buzzard","70.197368"
"buzzer","65.614035"
"bypass","47.062818"
"cab","53.333333"
"cabbage","68.615984"
"cabin","48.359133"
"cable","48.796992"
"cache","48.421053"
"Caddie","56.11336"
"cadet","54.035088"
"caffeine","54.892788"
"cage","59.113573"
"cahoots","90.05848"
"cake","63.684211"
"calcium","53.391813"
"calf","54.78819"
"call","46.315789"
"caller","52.409972"
"calm","54.035088"
"camel","69.473684"
"camp","46.315789"
"campaign","47.062818"
"camper","54.586466"
"camping","58.504155"
"campsite","57.004049"
"campus","50.797963"
"canal","61.256367"
"cancer","33.744361"
"candle","55.321637"
"candy","71.97724"
"cane","46.996904"
"canine","56.240602"
"canoe","62.526316"
"canon","53.826458"
"canteen","52.270677"
"canvas","48.359133"
"canvass","49.445235"
"canyon","52.631579"
"cap","58.323587"
"caper","69.473684"
"captive","45.592105"
"capture","54.807018"
"carbon","46.925208"
"carcass","56.157895"
"card","49.040248"
"cardboard","44.821732"
"care","48.359133"
"career","46.315789"
"caress","60.065789"
"cargo","53.552632"
"carnage","43.669173"
"carpal","61.963016"
"carpet","53.263158"
"carriage","45.389474"
"carrier","44"
"carrot","59.092559"
"carry","44.330827"
"cart","50.769231"
"cartel","50.451128"
"carton","60.33241"
"cartridge","45.157895"
"cascade","51.609023"
"case","44"
"cash","54.276316"
"cashier","46.959064"
"casing","52.105263"
"casket","31.941924"
"cassette","51.526316"
"cast","51.22807"
"caste","51.544992"
"castle","57.612323"
"casual","48.819346"
"catch","45.736842"
"catchphrase","60.651629"
"catfish","62.94197"
"cattle","47.859649"
"cauldron","56.350877"
"cause","51.764706"
"caution","44"
"cave","51.22807"
"caveman","70.245614"
"cease","46.941679"
"cedar","44.463158"
"ceiling","49.210526"
"cell","56.929825"
"cellar","41.086587"
"cellist","57.171053"
"cello","53.80805"
"cement","50.175439"
"censor","45.777234"
"cent","55.170279"
"central","49.824561"
"cervix","52.748538"
"cesspool","77.528604"
"chain","44.77193"
"chalet","66.279492"
"chalice","56.157895"
"chalk","47.719298"
"challenge","52.270677"
"champ","61.578947"
"champion","46.315789"
"change","53.80805"
"channel","55"
"chant","50.175439"
"chaos","69.473684"
"chap","67.430341"
"chapel","49.532164"
"chaplain","39.267735"
"chapter","46.315789"
"charade","72.046784"
"charcoal","54.255639"
"charge","52.748538"
"charger","54.30127"
"chariot","60.566802"
"charm","51.544992"
"chart","51.278195"
"charter","47.114338"
"chase","59.181287"
"chaser","57.285319"
"chassis","67.232598"
"chat","55.881007"
"chatter","63.840683"
"chauffeur","65.338346"
"cheap","52.409972"
"cheapskate","70.067476"
"cheat","51.544992"
"check","46.315789"
"checker","51.461988"
"checkers","58.245614"
"checklist","44.912281"
"checkout","48.245614"
"checkpoint","51.461988"
"checkup","51.322902"
"cheek","62.750424"
"cheer","63.883848"
"cheese","65.263158"
"cheesecake","73.815789"
"cheetah","57.637427"
"chef","49.210526"
"chemist","44"
"cherry","67.596017"
"cherub","64.180451"
"chess","52.847503"
"chest","51.544992"
"chestnut","60.33241"
"chew","52.932331"
"chic","60.711238"
"chick","69.473684"
"chicken","64.97076"
"chief","51.278195"
"chiffon","59.459459"
"child","58.575851"
"childbirth","52.29202"
"children","47.678019"
"chill","50.657895"
"chime","49.70475"
"chimney","52.932331"
"chimp","76.59919"
"chip","55.078236"
"chipmunk","74.817814"
"chipper","62.160665"
"chirp","69.473684"
"chisel","68.646617"
"chitchat","61.001284"
"chlorine","42.910217"
"choice","49.122807"
"choir","45.672515"
"choke","42.263158"
"chopper","56.842105"
"choppers","84.360902"
"chord","47.322654"
"chore","50.947368"
"chorus","50.343249"
"chowder","70.245614"
"christening","50.285714"
"christmas","56.696915"
"chrome","47.039474"
"chromium","54.035088"
"chuck","65.263158"
"chuckle","85.353383"
"chug","86.45614"
"chum","84.576659"
"chump","77.192982"
"chunk","65.614035"
"church","46.925208"
"churn","58.225564"
"chute","60.210526"
"cigar","51.719298"
"cinch","65.614035"
"cinder","48.193457"
"cipher","59.548872"
"circuit","54.035088"
"circus","68.111455"
"cirque","60.111982"
"citrus","55.170279"
"city","47.763158"
"civics","47.503374"
"claim","55.578947"
"clam","57.597841"
"clamp","63.684211"
"clang","74.105263"
"clap","62.384533"
"clapper","76.660617"
"clash","48.329519"
"clasp","55.851393"
"class","57.894737"
"classic","47.894737"
"classmate","63.298246"
"classroom","49.721362"
"clatter","60.210526"
"claw","48.300752"
"clay","45.750963"
"clean","49.70475"
"cleanser","54.421053"
"cleanup","50.834403"
"clear","46.315789"
"cleat","57.626771"
"cleavage","68.111455"
"cleaver","53.085454"
"clergy","56.608187"
"cleric","50.947368"
"clerk","47.969925"
"click","49.445235"
"client","53.391813"
"cliff","52.44582"
"climate","51.107078"
"clinic","43.536842"
"clink","63.684211"
"clip","49.789474"
"clipboard","56.410256"
"clipper","45.425101"
"clipping","50.175439"
"clique","67.54386"
"cloak","52.270677"
"clobber","79.766082"
"clockwork","56.608187"
"clog","67.596017"
"clone","58.666667"
"close","53.263158"
"closeness","51.929825"
"closet","49.972299"
"closure","46.315789"
"clot","60.210526"
"cloth","46.977444"
"clothes","46.315789"
"clothesline","56.608187"
"clothing","44.487535"
"cloud","52.828947"
"clout","60.982456"
"clove","51.278195"
"clover","61.136842"
"clown","64.390244"
"club","46.996904"
"clubhouse","47.969925"
"clump","61.111111"
"clunk","77.459165"
"cluster","50.451128"
"clutter","55.078236"
"coach","54.255639"
"coal","44"
"coast","48.711434"
"coaster","58.268251"
"coastline","51.800554"
"coat","46.909582"
"coating","52.380952"
"cobalt","50.285714"
"cobbler","68.315789"
"cobra","48.575096"
"cocaine","57.495463"
"cock","75.063521"
"cockpit","63.684211"
"cockroach","66.749226"
"cocoon","69.473684"
"cod","62.397661"
"code","47.039474"
"codeine","50.30853"
"coed","68.2861"
"coffee","53.855569"
"coffin","43.812233"
"cog","67.232598"
"cognac","58.666667"
"coil","41.022556"
"coke","62.719298"
"cola","46.909582"
"cold","45.614035"
"coleslaw","60.210526"
"colic","46.315789"
"collage","48.819346"
"collapse","42.65928"
"collar","60.651629"
"collect","41.403509"
"collie","56.902256"
"colon","65.614035"
"colonel","50.526316"
"column","46.315789"
"coma","37.894737"
"comb","55.964912"
"combat","40.311891"
"combine","54.035088"
"combo","52.491228"
"come","56.608187"
"comeback","59.93808"
"comet","52.932331"
"comfort","58.785425"
"comic","75.031579"
"command","37.978947"
"comment","53.759398"
"commerce","39.128857"
"commie","75.106686"
"common","46.315789"
"compact","53.593985"
"compare","51.609023"
"compass","61.488203"
"complaint","38.87218"
"complex","43.327674"
"compost","53.658537"
"compress","49.445235"
"comrade","56.532508"
"concept","49.336384"
"concert","50.797963"
"concourse","43.421053"
"concrete","44.95356"
"condom","72.4618"
"condor","52.704174"
"conduct","43.940621"
"cone","61.256367"
"conflict","43.099415"
"conga","68.726655"
"congress","55.816464"
"conk","75.063521"
"conquest","59.342105"
"conscience","44.330827"
"consent","46.315789"
"conserve","36.666667"
"console","41.008772"
"consort","52.270677"
"constant","50.368421"
"construct","53.039049"
"consul","56.955903"
"contact","50.581717"
"contempt","41.784897"
"content","62.612086"
"contents","48.690958"
"contest","49.210526"
"context","43.74269"
"contract","48.245614"
"contrast","45.6899"
"control","44.661654"
"convent","56.240602"
"converse","53.157895"
"convert","54.035088"
"convict","32.908587"
"convoy","52.631579"
"coo","82.250454"
"cook","59.548872"
"cookbook","51.083591"
"cooker","51.162791"
"cookie","72.4618"
"cooking","44.95356"
"cool","57.067669"
"coolant","56.11336"
"cooler","57.171053"
"coon","57.047497"
"cop","47.969925"
"cope","37.4613"
"copier","59.631579"
"copper","49.62406"
"copy","49.62406"
"coral","56.608187"
"cord","44.534413"
"cordon","52.847503"
"core","41.308677"
"cork","62.269006"
"corkscrew","58.83357"
"corn","55.321637"
"corner","46.315789"
"corps","54.035088"
"corpse","43.508772"
"corral","51.381579"
"corsage","62.94197"
"corset","59.473684"
"cortex","58.421053"
"cosmos","60.350877"
"cost","51.905626"
"costume","55.578947"
"cot","65.386997"
"cottage","54.035088"
"cotton","52.932331"
"couch","53.80805"
"cough","48.888889"
"council","52.932331"
"counsel","51.609023"
"count","42.697368"
"countdown","44.661654"
"counter","48.01027"
"countess","59.473684"
"county","50.604288"
"coup","59.181287"
"couple","52.409972"
"coupling","71.255061"
"coupon","51.461988"
"courage","51.659919"
"courier","54.652632"
"courthouse","46.977444"
"courtroom","43.007519"
"courtship","53.552632"
"courtyard","48.421053"
"cousin","51.22807"
"cove","48.987854"
"coven","57.894737"
"cover","52.932331"
"covert","56.505263"
"cow","64.598338"
"coward","47.931457"
"cowboy","65.338346"
"cowgirl","67.979626"
"crab","61.488203"
"crack","62.286751"
"crackpot","78.510911"
"craft","52.932331"
"craftsman","50.071124"
"cramp","52.57468"
"cranium","62.348178"
"crash","40.102696"
"crate","44.385965"
"crater","50.175439"
"crawl","54.035088"
"crayon","54.678363"
"craze","66.165414"
"creak","56.842105"
"creamer","66.992481"
"crease","44.463158"
"credence","57.894737"
"credit","44.302059"
"creed","49.303905"
"creek","54.238227"
"creep","54.489164"
"creeper","61.256367"
"crepe","59.548872"
"crescent","54.370709"
"crest","63.684211"
"cretin","61.488203"
"crevice","63.883848"
"crew","47.719298"
"crib","53.157895"
"cricket","57.213622"
"crime","41.547988"
"crimson","52.105263"
"cripple","44.912281"
"crisis","42.45614"
"crisp","57.521222"
"critic","53.039049"
"critique","54.489164"
"critter","69.473684"
"croak","67.488722"
"croissant","68.894737"
"crook","56.009792"
"croquet","72.198142"
"cross","43.669173"
"crossbow","54.035088"
"crossword","53.263158"
"crotch","89.437387"
"crouch","60.896686"
"crowbar","50.604288"
"crowd","56.384439"
"crown","48.193457"
"crude","55.170279"
"cruelty","32.955466"
"cruise","54.807018"
"cruiser","50.175439"
"crumb","70.197368"
"crumble","51.083591"
"crunch","66.165414"
"crusade","50.175439"
"crust","52.748538"
"crutch","46.941679"
"cry","39.298246"
"crypt","53.80805"
"crystal","50.657895"
"cub","46.315789"
"cube","57.894737"
"cuckold","81.695906"
"cuckoo","86.693657"
"cuddle","61.337127"
"cue","47.763158"
"cuff","59.649123"
"cuisine","60.87218"
"culprit","56.696915"
"cult","55"
"culture","47.087719"
"cunt","68.675136"
"cup","52.29202"
"cupboard","52.409972"
"curb","49.122807"
"curd","65.614035"
"cure","52.105263"
"curl","48.753463"
"curling","50.526316"
"current","48.245614"
"curry","56.608187"
"curtain","50.050934"
"curtsy","65.062657"
"cushion","60.065789"
"cuss","64.723347"
"custard","67.302632"
"custom","49.972299"
"cut","47.719298"
"cutlass","57.122807"
"cutter","50.581717"
"cycle","53.391813"
"cyclone","46.315789"
"cynic","56.066482"
"cyst","51.526316"
"czar","62.526316"
"dab","69.473684"
"dad","46.315789"
"daddy","55.078236"
"dagger","40.866873"
"daily","53.391813"
"dainty","68.444444"
"dairy","55.413534"
"daisy","60.210526"
"dam","52.491228"
"damage","36.491228"
"dame","58.901602"
"damn","69.473684"
"damp","49.210526"
"damper","54.489164"
"damsel","61.136842"
"dance","60.509338"
"dandruff","62.130937"
"dandy","81.052632"
"danger","42.345865"
"dare","49.746589"
"daring","47.142857"
"dark","55.789474"
"darkness","43.346829"
"darling","64.439359"
"darn","71.869328"
"dash","54.035088"
"dashboard","55.723684"
"date","54.189474"
"day","51.278195"
"daybreak","56.736842"
"daydream","64.598338"
"daylight","54.035088"
"dazzle","68.894737"
"deacon","50.947368"
"dead","34.994152"
"deadline","45.706371"
"deaf","35.460526"
"deal","48.888889"
"dealer","45.157895"
"death","30.650155"
"deathbed","32.155907"
"debate","47.567568"
"debris","49.70475"
"debt","35.110357"
"debut","52.57468"
"decade","43.121597"
"decay","41.973684"
"deck","44.144737"
"decline","46.315789"
"decree","46.315789"
"deed","59.649123"
"deep","49.040248"
"deer","51.322902"
"default","46.996904"
"defect","55.723684"
"degree","48.631579"
"delight","68.070175"
"delta","54.30127"
"deluge","54.035088"
"demand","37.408907"
"demise","43.157895"
"demo","59.93808"
"demon","40.667522"
"den","50.175439"
"dent","46.315789"
"dental","41.684211"
"depot","57.213622"
"depth","47.087719"
"descent","47.534626"
"desert","40.682788"
"design","47.062818"
"despair","36.315789"
"dessert","58.398169"
"detail","45.634675"
"detour","52.528883"
"deuce","80.473684"
"deviant","68.370927"
"device","49.878543"
"devil","49.509982"
"devout","55.078236"
"dial","51.083591"
"dice","49.934211"
"dictate","45.592105"
"diction","58.785425"
"die","38.596491"
"diesel","56.842105"
"difference","46.315789"
"dig","44"
"digest","59.891107"
"digit","49.445235"
"dike","72.046784"
"dildo","87.48538"
"dime","49.303905"
"dimwit","78.295739"
"diner","54.533107"
"dinghy","81.791713"
"dingo","85.288832"
"dinner","51.948791"
"dipper","68.111455"
"dipstick","79.122807"
"dirt","56.505263"
"disc","47.114338"
"discard","48.888889"
"discharge","64.842105"
"disco","68.646617"
"discount","52.29202"
"disdain","44.534413"
"disease","34.736842"
"disgrace","41.353383"
"disguise","56.608187"
"disgust","40.526316"
"dish","54.276316"
"dislike","33.909774"
"dismay","36.927454"
"dispatch","52.828947"
"display","58.741977"
"dissent","42.02729"
"distance","43.669173"
"distress","34.363328"
"distrust","31.689751"
"ditch","58.618421"
"ditto","73.609023"
"ditty","77.786775"
"dive","49.547124"
"divide","44.77193"
"divorce","32.693498"
"divvy","66.666667"
"do","48.486842"
"doc","50.021053"
"dock","50.343249"
"doctor","48.631579"
"doctrine","48.962406"
"dodo","85.353383"
"doer","63.379501"
"doggy","65.338346"
"doghouse","64.842105"
"dole","56.240602"
"doll","49.824561"
"dollar","60.467836"
"dolphin","62.160665"
"domain","44.868421"
"dome","56.608187"
"donkey","76.786704"
"donor","40.526316"
"doom","45.634675"
"doomsday","44.438122"
"door","47.142857"
"doorbell","50.797963"
"doorknob","59.052632"
"doorman","60.789474"
"doormat","56.240602"
"doornail","57.56391"
"doorstep","49.878543"
"doorway","45.706371"
"dope","73.976608"
"dorm","54.30127"
"dosage","49.62406"
"dot","54.035088"
"doubt","48.962406"
"douche","89.415205"
"dough","51.140351"
"Doughnut","65.131579"
"downer","53.200569"
"downfall","44.385965"
"doze","57.004049"
"dozen","42.362003"
"draft","44.330827"
"drag","54.035088"
"dragon","65.185185"
"drain","52.932331"
"drainage","54.586466"
"drainpipe","58.83357"
"drake","53.263158"
"drape","54.035088"
"drawback","40.912281"
"drawbridge","59.181287"
"drawer","52.270677"
"dread","36.666667"
"dream","61.488203"
"dreamboat","65.964912"
"dreamland","62.857143"
"dredge","49.62406"
"dribble","73.976608"
"drift","46.315789"
"driftwood","53.959869"
"drinker","56.774194"
"drip","67.819549"
"drive","52.44582"
"drivel","66.279492"
"driver","49.15145"
"drizzle","68.582996"
"drone","54.30127"
"drop","47.859649"
"dropout","48.470012"
"drought","36.415155"
"druggist","63.085299"
"drugstore","49.040248"
"drum","62.397661"
"drummer","54.736842"
"drunk","63.883848"
"dryer","50.071124"
"duchess","67.214377"
"ducky","84.709141"
"duct","62.857143"
"dud","72.280702"
"dude","80.280702"
"due","44.912281"
"duel","51.719298"
"duet","57.343358"
"duffel","50.657895"
"dugout","55.578947"
"dullard","63.379501"
"dumb","57.495463"
"dumbbell","72.561404"
"dummy","75.263158"
"dump","71.644737"
"dumpling","81.052632"
"dunce","78.257713"
"dune","52.29202"
"dungeon","61.256367"
"duo","52.253711"
"dupe","69.473684"
"duress","43.74269"
"dusk","44.718693"
"dust","46.941679"
"duster","49.303905"
"dustpan","48.300752"
"duty","58.225564"
"dwelling","60.210526"
"dye","49.28475"
"eagle","40.526316"
"ear","52.684211"
"earful","59.256966"
"earl","61.203008"
"earnest","52.847503"
"earnings","51.905626"
"earpiece","57.894737"
"earring","54.035088"
"earth","55.413534"
"ease","51.719298"
"east","48.819346"
"eater","55.851393"
"echo","64.070175"
"eclipse","54.586466"
"edge","54.421053"
"eel","51.381579"
"effect","58.618421"
"effort","42.842105"
"egg","52.319688"
"egghead","91.379801"
"eggplant","61.001284"
"eggshell","62.236842"
"ego","61.754386"
"eight","53.855569"
"eighty","45.517241"
"elder","55.964912"
"elf","78.571429"
"elk","52.105263"
"elm","49.403509"
"emblem","51.39923"
